time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s
0.0,42.90392259806495,2.33205,42.94472361809044,42.78939473486837,-4.81844,8.90729768244206,17.4122,8.816470411760292,24.018900000000002,8.765769144228605,26.077,8.124053101327533,15.782300000000001
0.001,42.870846771169276,2.09507,42.935198379959495,42.78466961674041,-4.80421,8.907222680567013,17.4078,8.816395409885246,24.0229,8.765694142353558,26.076600000000003,8.123978099452486,15.7821
0.002,42.83244581114528,1.81654,42.92162304057601,42.78189454736368,-4.78261,8.907147678691965,17.4035,8.8163204080102,24.027,8.765619140478512,26.0763,8.12390309757744,15.7819
0.003,42.78886972174304,1.49757,42.90369759243981,42.78114452861321,-4.75336,8.907072676816918,17.3991,8.816245406135153,24.031000000000002,8.765619140478512,26.076,8.12390309757744,15.781699999999999
0.004,42.74026850671267,1.14007,42.88104702617565,42.782344558613964,-4.7165300000000006,8.906997674941872,17.394800000000004,8.816170404260106,24.0351,8.765544138603465,26.0756,8.123828095702393,15.781500000000001
0.005,42.68686717167928,0.7467290000000001,42.8534463361584,42.78549463736593,-4.67251,8.906922673066825,17.3905,8.81609540238506,24.0392,8.765469136728418,26.075300000000002,8.123828095702393,15.781300000000002
0.006,42.62904072601814,0.32096800000000003,42.82059551488787,42.790294757368926,-4.62207,8.906847671191779,17.3861,8.816020400510013,24.043400000000002,8.765394134853372,26.0749,8.123753093827345,15.781200000000002
0.007,42.56708917722943,-0.133149,42.78249456236405,42.79651991299782,-4.56627,8.906772669316732,17.381800000000002,8.81587039675992,24.0475,8.765319132978323,26.0746,8.123678091952298,15.781
0.008,42.50146253656341,-0.610998,42.73899347483687,42.803795094877366,-4.506530000000001,8.906697667441685,17.3775,8.815795394884871,24.0517,8.765319132978323,26.0743,8.123678091952298,15.780800000000001
0.009,42.43283582089552,-1.1075,42.69031725793144,42.81167029175729,-4.44455,8.906622665566639,17.3731,8.815720393009824,24.0558,8.765244131103277,26.073900000000002,8.12360309007725,15.7806
0.01,42.36165904147603,-1.61723,42.63646591164779,42.819620490512264,-4.38229,8.906622665566639,17.3688,8.815645391134778,24.060000000000002,8.76516912922823,26.073600000000003,8.12360309007725,15.7804
0.011,42.28860721518038,-2.13459,42.57773944348609,42.827120678016946,-4.3219199999999995,8.906547663691592,17.3645,8.815570389259731,24.0642,8.765094127353183,26.0732,8.123528088202203,15.780199999999999
0.012,42.214280357008924,-2.65386,42.51451286282157,42.833570839270976,-4.26578,8.906472661816544,17.360200000000003,8.815495387384683,24.0685,8.765094127353183,26.0729,8.123453086327157,15.780000000000003
0.013,42.139203480087,-3.16942,42.44723618090452,42.838295957398934,-4.21628,8.906397659941497,17.355800000000002,8.815420385509636,24.0727,8.765019125478137,26.072599999999998,8.123453086327157,15.779800000000002
0.014,42.06412660316507,-3.6758300000000004,42.37628440711017,42.84062101552538,-4.17588,8.90632265806645,17.3515,8.81534538363459,24.076900000000002,8.76494412360309,26.072300000000002,8.12337808445211,15.779600000000002
0.015,41.98949973749343,-4.167960000000001,42.302182554563856,42.839945998649966,-4.146990000000001,8.906247656191404,17.3472,8.815270381759543,24.0812,8.764869121728042,26.071900000000003,8.12337808445211,15.7795
0.016,41.915922898072445,-4.64114,42.225605640141,42.83567089177229,-4.13194,8.906247656191404,17.3429,8.815195379884496,24.085400000000003,8.764869121728042,26.0716,8.123303082577063,15.779300000000001
