time_s,upper_body_arterial_pressure_mmHg,upper_body_venous_pressure_mmHg,lower_body_arterial_pressure_mmHg,lower_body_venous_pressure_mmHg
0.001,-0.017092,-0.067113,-0.016026,-0.030361
0.002,-0.03907,-0.13345,-0.042213,-0.060549
0.003,-0.059901,-0.196953,-0.067458,-0.090591
0.004,-0.080188,-0.254773,-0.091023,-0.120464
0.005,-0.099297,-0.311294,-0.113744,-0.15018
0.006,-0.116931,-0.372349,-0.136361,-0.179754
0.007,-0.133954,-0.436564,-0.159357,-0.209143
0.008,-0.151892,-0.495894,-0.182902,-0.238303
0.009,-0.171873,-0.543342,-0.206927,-0.267284
0.01,-0.194413,-0.578328,-0.23141,-0.296218
0.011,-0.219778,-0.605623,-0.25646,-0.325172
0.012,-0.247908,-0.630989,-0.282115,-0.354038
0.013,-0.278079,-0.657821,-0.308169,-0.38259
0.014,-0.30906,-0.686413,-0.334277,-0.410674
0.015,-0.339893,-0.715161,-0.360272,-0.438363
0.016,-0.370729,-0.742214,-0.386417,-0.465979
0.017,-0.402808,-0.766546,-0.413359,-0.493947
0.018,-0.437212,-0.788178,-0.441658,-0.522549
0.019,-0.473446,-0.807835,-0.471211,-0.551726
0.02,-0.509277,-0.826465,-0.501071,-0.581008
0.021,-0.541915,-0.844911,-0.529843,-0.609639
0.022,-0.569496,-0.863809,-0.556355,-0.636837
0.023,-0.591807,-0.883608,-0.58009,-0.662049
0.024,-0.609947,-0.904603,-0.601197,-0.68509
0.025,-0.625474,-0.926917,-0.62027,-0.706098
0.026,-0.639768,-0.950473,-0.638156,-0.725357
0.027,-0.653906,-0.974999,-0.655815,-0.743089
0.028,-0.668754,-1.000124,-0.674122,-0.759311
0.029,-0.684781,-1.025508,-0.693595,-0.773831
0.03,-0.701546,-1.050964,-0.714227,-0.786349
0.031,-0.717625,-1.07648,-0.735564,-0.796606
0.032,-0.731351,-1.102156,-0.757012,-0.804524
0.033,-0.741773,-1.128085,-0.778178,-0.810257
0.034,-0.748985,-1.154244,-0.799021,-0.814176
0.035,-0.753752,-1.180457,-0.8197,-0.816773
0.036,-0.756916,-1.206443,-0.840281,-0.818562
0.037,-0.759019,-1.231922,-0.86062,-0.819973
0.038,-0.760232,-1.25673,-0.880606,-0.821304
0.039,-0.760521,-1.280883,-0.900568,-0.82271
0.04,-0.759907,-1.304569,-0.921407,-0.824235
0.041,-0.758629,-1.328071,-0.944113,-0.825862
0.042,-0.757107,-1.351654,-0.968885,-0.827556
0.043,-0.755775,-1.375473,-0.994569,-0.82929
0.044,-0.754909,-1.399511,-1.018965,-0.83105
0.045,-0.754542,-1.423584,-1.039817,-0.832832
0.046,-0.754489,-1.447384,-1.055852,-0.834635
0.047,-0.754458,-1.470553,-1.067175,-0.83645
0.048,-0.754181,-1.492747,-1.074867,-0.838256
0.049,-0.753528,-1.513665,-1.080211,-0.840011
0.05,-0.752524,-1.533036,-1.084137,-0.841643
0.051,-0.751295,-1.550578,-1.087111,-0.843057
0.052,-0.749986,-1.565953,-1.089327,-0.844135
0.053,-0.748699,-1.578757,-1.090943,-0.844761
0.054,-0.747493,-1.588556,-1.092187,-0.844835
0.055,-0.746412,-1.594979,-1.093319,-0.844293
0.056,-0.7455,-1.597818,-1.094519,-0.843121
0.057,-0.744781,-1.597105,-1.095809,-0.841355
0.058,-0.744206,-1.593124,-1.097066,-0.839074
0.059,-0.743631,-1.58636,-1.098113,-0.836385
0.06,-0.742845,-1.577404,-1.098829,-0.833407
0.061,-0.741669,-1.566848,-1.099215,-0.830257
0.062,-0.740041,-1.555206,-1.09939,-0.827034
0.063,-0.738041,-1.542863,-1.099547,-0.823817
0.064,-0.735854,-1.530075,-1.099888,-0.820662
0.065,-0.733697,-1.516984,-1.100576,-0.817608
0.066,-0.731762,-1.503659,-1.101702,-0.814677
0.067,-0.730178,-1.490137,-1.103278,-0.811879
0.068,-0.728992,-1.476449,-1.105243,-0.809211
0.069,-0.728145,-1.462646,-1.107489,-0.806656
0.07,-0.727473,-1.448793,-1.1099,-0.804177
0.071,-0.726754,-1.434964,-1.11239,-0.801722
0.072,-0.725787,-1.421226,-1.114919,-0.799218
0.073,-0.724466,-1.407625,-1.117472,-0.796585
0.074,-0.722811,-1.394171,-1.120019,-0.79374
0.075,-0.720936,-1.380841,-1.122486,-0.790611
0.076,-0.718992,-1.367577,-1.124766,-0.787142
0.077,-0.71711,-1.354297,-1.126753,-0.783306
0.078,-0.715372,-1.340911,-1.12839,-0.779103
0.079,-0.713811,-1.327336,-1.129653,-0.774561
0.08,-0.712429,-1.313504,-1.130506,-0.769726
0.081,-0.711221,-1.299376,-1.130837,-0.764658
0.082,-0.710185,-1.284939,-1.130461,-0.759419
0.083,-0.709311,-1.270204,-1.129187,-0.754064
0.084,-0.708575,-1.255205,-1.12692,-0.748641
0.085,-0.707927,-1.239984,-1.123733,-0.743191
0.086,-0.707298,-1.22459,-1.119862,-0.737749
0.087,-0.706618,-1.209072,-1.115639,-0.732355
0.088,-0.705829,-1.193478,-1.111386,-0.727051
0.089,-0.704899,-1.177855,-1.107344,-0.721884
0.09,-0.70382,-1.162245,-1.103638,-0.716904
0.091,-0.702593,-1.146688,-1.100295,-0.712157
0.092,-0.701217,-1.131214,-1.09729,-0.707681
0.093,-0.699688,-1.115844,-1.09458,-0.703499
0.094,-0.69799,-1.100582,-1.092126,-0.699614
0.095,-0.696103,-1.085416,-1.089899,-0.696007
0.096,-0.69401,-1.070318,-1.087864,-0.692642
0.097,-0.691692,-1.055246,-1.085969,-0.689463
0.098,-0.689133,-1.040155,-1.084152,-0.686404
0.099,-0.686318,-1.024998,-1.082346,-0.683395
0.1,-0.683236,-1.009742,-1.080497,-0.680369
0.101,-0.67988,-0.994361,-1.078565,-0.677267
0.102,-0.676248,-0.978847,-1.076532,-0.674044
0.103,-0.67234,-0.963205,-1.074386,-0.670674
0.104,-0.668156,-0.947447,-1.072111,-0.667147
0.105,-0.66369,-0.93159,-1.06968,-0.663469
0.106,-0.658931,-0.915649,-1.06705,-0.65966
0.107,-0.653853,-0.899642,-1.064165,-0.655751
0.108,-0.648423,-0.883582,-1.06097,-0.651781
0.109,-0.642603,-0.867485,-1.057412,-0.647793
0.11,-0.636355,-0.85137,-1.05345,-0.643831
0.111,-0.629651,-0.835265,-1.049049,-0.639939
0.112,-0.622478,-0.819204,-1.044176,-0.636155
0.113,-0.614836,-0.803231,-1.038796,-0.632512
0.114,-0.606737,-0.787396,-1.032868,-0.629034
0.115,-0.598198,-0.771751,-1.026354,-0.625734
0.116,-0.589229,-0.756345,-1.01922,-0.622611
0.117,-0.579836,-0.741219,-1.011445,-0.619656
0.118,-0.570015,-0.726403,-1.003016,-0.616846
0.119,-0.559759,-0.711912,-0.993932,-0.614151
0.12,-0.549056,-0.697745,-0.984195,-0.611533
0.121,-0.537897,-0.683888,-0.973812,-0.608953
0.122,-0.526275,-0.670312,-0.962794,-0.606367
0.123,-0.514184,-0.65698,-0.951164,-0.603738
0.124,-0.501621,-0.643849,-0.938954,-0.601028
0.125,-0.488582,-0.630872,-0.926202,-0.598206
0.126,-0.47507,-0.618006,-0.912945,-0.595248
0.127,-0.461087,-0.605211,-0.899206,-0.592136
0.128,-0.446645,-0.592455,-0.884992,-0.588859
0.129,-0.431755,-0.579713,-0.870292,-0.585415
0.13,-0.416434,-0.566972,-0.855078,-0.58181
0.131,-0.400698,-0.554227,-0.83932,-0.578054
0.132,-0.384563,-0.541483,-0.822987,-0.574169
0.133,-0.368044,-0.528754,-0.806056,-0.570175
0.134,-0.351156,-0.516061,-0.788513,-0.566101
0.135,-0.33391,-0.503429,-0.770348,-0.561973
0.136,-0.31632,-0.490887,-0.751559,-0.557816
0.137,-0.298399,-0.478464,-0.732146,-0.55365
0.138,-0.280158,-0.466188,-0.712115,-0.549488
0.139,-0.261608,-0.454082,-0.691477,-0.545336
0.14,-0.242757,-0.442165,-0.670245,-0.541188
0.141,-0.223613,-0.430451,-0.648438,-0.537031
0.142,-0.204184,-0.418946,-0.626075,-0.532843
0.143,-0.184473,-0.407651,-0.603173,-0.528595
0.144,-0.164487,-0.39656,-0.579748,-0.524254
0.145,-0.144228,-0.385664,-0.555814,-0.519785
0.146,-0.1237,-0.374948,-0.531383,-0.515153
0.147,-0.102907,-0.364393,-0.506468,-0.510329
0.148,-0.081851,-0.35398,-0.481081,-0.505286
0.149,-0.060537,-0.343687,-0.455237,-0.500006
0.15,-0.03897,-0.333493,-0.428947,-0.494478
0.151,-0.017157,-0.323378,-0.402223,-0.488697
