row,column,value
1,1,AORTIC VALVE
1,4,With no fenestration
1,5,V0 (ml)
1,7,"Vblood,total (ml)"
1,8,"QAo,sim (ml/s)"
1,9,"PAo,sim (mmHg)"
2,1,r (kg/m3)
2,2,1060
2,4,Ascending aorta
2,5,9.511106308896151
2,7,500
2,8,36.71268036941956
2,9,44.73658913151155
2,10,M009art_closedloop_00
3,1,leff (m)
3,2,0.08
3,4,Thoracic aorta
3,5,12.093168220912212
3,7,550
3,8,41.04945924385779
3,9,49.96358851278968
3,10,M009art_closedloop_01
4,1,Aann (m2)
4,2,0.00016834
4,4,Brachiocephalic
4,5,1.8702293765901736
4,7,600
4,8,45.378342978881065
4,9,55.18206871255689
4,10,M009art_closedloop_02
5,1,KVO (mmHg-1·s-1)
5,2,4
5,4,Carotic left
5,5,0.7834346679889544
5,7,559.3845945643944
5,8,41.884344348732995
6,1,KVC (mmHg-1·s-1)
6,2,2
6,4,IVC
6,5,30.626601381683493
6,7,553.993041987786
6,9,50.40287288772364
7,1,VENTRICLE-Mynard
7,4,RPA
7,5,1.592787475370025
7,7,556.6888182760902
7,8,41.62893612871791
7,9,50.66208569549913
7,10,M009art_closedloop_03
8,1,KS (s/ml)
8,2,0.0001398048189154997
8,4,LPA I
8,5,1.2051934817333843
8,8,41.65062054453702
8,9,50.68458150985143
9,1,Emin (mmHg/ml)
9,2,0.065
9,4,LPA II
9,5,0.5424483315198375
10,1,Emax (mmHg/ml)
10,2,1.97
10,4,SVC
10,5,3.979023445312322
11,1,V0 (ml)
11,2,10.5
11,4,Total initial volume
11,5,62.203992690006544
12,1,m1 (-)
12,2,1.3
13,1,m2 (-)
13,2,30
14,1,t1/T (-)
14,2,0.18
15,1,t2/T (-)
15,2,0.45
16,1,MITRAL VALVE
17,1,r (kg/m3)
17,2,1060
18,1,leff (m)
18,2,0.04
19,1,Aann (m2)
19,2,0.00045
20,1,KVO (mmHg-1·s-1)
20,2,8
21,1,KVC (mmHg-1·s-1)
21,2,8
22,1,ATRIUM-Mynard
23,1,KS (s/ml)
23,2,0.00075
24,1,Emin (mmHg/ml)
24,2,0.2
25,1,Emax (mmHg/ml)
25,2,0.4
26,1,V0 (ml)
26,2,5.5
27,1,m1 (-)
27,2,20
28,1,m2 (-)
28,2,30
29,1,t1/T (-)
29,2,0.1
30,1,t2/T (-)
30,2,0.25
31,1,toffset/T (-)
31,2,0.7
32,1,"Patrium,avg (mmHg)"
32,2,4.280923490225334
