target_id,source_id,source_type,canonical_name,quantity,statistic,value,unit,source_file,source_columns,cycle_length_s,notes
direct_measurement.cycle_length.period,direct_measurement,direct_measurement,cycle_length,time,period,0.8580000000000008,s,comparison/measurements_last_cycle_clinical.csv,"[""time_s""]",0.8580000000000008,Derived as sample_count * median_dt because the terminal phase sample is not duplicated.
direct_measurement.heart_rate.derived_from_cycle_length,direct_measurement,direct_measurement,heart_rate,frequency,derived_from_cycle_length,69.93006993006986,beats/min,comparison/measurements_last_cycle_clinical.csv,"[""time_s""]",0.8580000000000008,Derived from one-cycle duration.
direct_measurement.edv.max,direct_measurement,direct_measurement,edv,volume,max,74.39998007606457,ml,comparison/measurements_last_cycle_clinical.csv,"[""ventricle_volume_ml""]",0.8580000000000008,End-diastolic volume proxy from maximum ventricular volume over the cycle.
direct_measurement.esv.min,direct_measurement,direct_measurement,esv,volume,min,37.60003540359129,ml,comparison/measurements_last_cycle_clinical.csv,"[""ventricle_volume_ml""]",0.8580000000000008,End-systolic volume proxy from minimum ventricular volume over the cycle.
direct_measurement.stroke_volume.edv_minus_esv,direct_measurement,direct_measurement,stroke_volume,volume,edv_minus_esv,36.79994467247327,ml,comparison/measurements_last_cycle_clinical.csv,"[""ventricle_volume_ml""]",0.8580000000000008,Stroke volume derived from EDV minus ESV.
direct_measurement.cardiac_output.from_stroke_volume,direct_measurement,direct_measurement,cardiac_output,flow,from_stroke_volume,2.573422704368758,L/min,comparison/measurements_last_cycle_clinical.csv,"[""ventricle_volume_ml"", ""time_s""]",0.8580000000000008,Cardiac output derived from stroke volume and cycle length.
direct_measurement.ivc_pressure.mean,direct_measurement,direct_measurement,ivc_pressure,pressure,mean,8.539233256374764,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""ivc_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
direct_measurement.lpa_pressure.mean,direct_measurement,direct_measurement,lpa_pressure,pressure,mean,8.45525641025641,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""lpa_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
direct_measurement.rpa_pressure.mean,direct_measurement,direct_measurement,rpa_pressure,pressure,mean,8.482440768563476,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""rpa_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
direct_measurement.svc_pressure.mean,direct_measurement,direct_measurement,svc_pressure,pressure,mean,8.869404209404498,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""svc_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
direct_measurement.aortic_arch_pressure.mean,direct_measurement,direct_measurement,aortic_arch_pressure,pressure,mean,51.732483304804546,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""aortic_arch_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
direct_measurement.ascending_aorta_pressure.mean,direct_measurement,direct_measurement,ascending_aorta_pressure,pressure,mean,50.40287288772364,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""ascending_aorta_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
direct_measurement.descending_aorta_pressure.mean,direct_measurement,direct_measurement,descending_aorta_pressure,pressure,mean,53.146443563458895,mmHg,comparison/measurements_last_cycle_clinical.csv,"[""descending_aorta_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
