model,component,node,total_C_m3_per_Pa,total_C_ml_per_mmHg,mean_pressure_mmHg,estimated_stored_volume_ml,category
full_0d,capacitance_valve,cavity,5e-12,0.0006666115601110307,25.987203387856546,0.017323370193301716,other
full_0d,aao_compliance,aao,4.000340028902456e-09,0.5333345815282544,47.79287334285191,25.48959210434279,retained_aortic_endpoint
full_0d,aortic_arch_compliance,aortic_arch,5.00042503612807e-09,0.666668226910318,47.12221271513976,31.41488199889307,retained_aortic_endpoint
full_0d,bca_compliance,bca,3.0002550216768422e-09,0.4000009361461908,46.721794679668406,18.68876161029748,other
full_0d,lcca_compliance,lcca,1.5001275108384211e-09,0.2000004680730954,46.81521895445762,9.363065703835973,other
full_0d,lsa_compliance,lsa,1.5001275108384211e-09,0.2000004680730954,46.81521895445762,9.363065703835973,other
full_0d,upper_ca1,upper_art,1.500127510838421e-08,2.000004680730954,43.001565752280115,86.00333278332012,systemic_bed
full_0d,upper_cv1,upper_ven,6.000510043353684e-08,8.000018722923816,19.304869332358713,154.43931610246747,systemic_bed
full_0d,dao_compliance,dao,9.000765065030526e-09,1.2000028084385725,44.00272147875028,52.80338935344063,retained_aortic_endpoint
full_0d,lower_ca2,lower_art,2.500212518064035e-08,3.33334113455159,36.99737298894619,123.32486525440224,systemic_bed
full_0d,lower_cv2,lower_ven,9.000765065030527e-08,12.000028084385724,14.196387527980825,170.35704903259312,systemic_bed
full_0d,svc_compliance,svc,1.500127510838421e-07,20.00004680730954,9.112407042695093,182.24856738115895,retained_fontan_endpoint
full_0d,ivc_compliance,ivc,2.2501912662576316e-07,30.00007021096431,8.93418187916806,268.0260836525669,retained_fontan_endpoint
full_0d,tcpc_compliance,tcpc,1.200102008670737e-09,0.16000037445847637,8.222253063368608,1.3155635690313316,retained_fontan_endpoint
full_0d,svc_conduit_compliance,svc_conduit,1.200102008670737e-09,0.16000037445847637,8.2667604010665,1.3226847597291442,other
full_0d,ivc_conduit_compliance,ivc_conduit,1.200102008670737e-09,0.16000037445847637,8.257848619749076,1.321258871381264,other
full_0d,rpa_conduit_compliance,rpa_conduit,1.200102008670737e-09,0.16000037445847637,7.799869139655281,1.2479819830719585,other
full_0d,lpa_conduit_compliance,lpa_conduit,1.200102008670737e-09,0.16000037445847637,7.799834307702652,1.247976409946495,other
full_0d,rpa_compliance,rpa,1.125095633128816e-08,1.5000035105482157,7.777638301728647,11.666484756367234,retained_fontan_endpoint
full_0d,lpa_compliance,lpa,1.125095633128816e-08,1.5000035105482157,7.77760252277654,11.66643108781347,retained_fontan_endpoint
full_0d,active_atrium_min_elastance_equivalent,atrial,6.000510043353685e-08,8.000018722923818,5.1117944454504824,40.894451271341836,active_atrium
quasi_0d_1d,capacitance_valve,cavity,5e-12,0.0006666115601110307,24.41186557254027,0.016273231794531832,other
