candidate,family,topology,status,accepted_as_superior,direct_score,hard_score,paper_score,waveform_regression_rms,failed_hard_gates,failed_waveform_gates,edv_ml,esv_ml,sv_ml,co_l_min,rpa_pressure_mmHg,lpa_pressure_mmHg,svc_flow_ml_s,rpa_flow_fraction
task0085_reference,canonical_reference,current,ok,False,0.059156490366446456,0.05606355646481625,0.08049901237499739,0.13581445757080288,edv;esv;stroke_volume;cardiac_output,ascending_aorta_flow;descending_aorta_flow,70.03587697710246,34.80343704405055,35.232439933051914,2.4721030930446135,7.72209359445776,7.72186936005947,20.178010387587108,0.5909263912394432
current_frozen_heart,current_topology_frozen_heart,current,ok,False,0.06422386515140555,0.06632760068011471,0.0833106321189236,0.14350924605466944,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.15059782226045,33.11220646266235,36.0383913595981,2.528329936863418,7.616255696787592,7.6160394225657795,20.637800405110706,0.590918647163189
current_heart_099,current_topology_small_heart,current,ok,False,0.06237982192578264,0.06323376098674861,0.08214887017843761,0.14147339421990413,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.36753654219171,33.522915729756384,35.84462081243533,2.5148857706130605,7.641624997049981,7.641406839505908,20.52724304382681,0.590920486453773
current_heart_101,current_topology_small_heart,current,ok,False,0.06635638824749782,0.06964772696654362,0.08472350433903528,0.1456099344155484,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,68.93634310670774,32.70961000359916,36.22673310310858,2.5413794937567302,7.591647692683191,7.5914331456468,20.745269492415446,0.5909168600541
aortic_L0,aortic_rlc_ablation,current,ok,False,0.06240230008812559,0.06330737502941518,0.08225757715542112,38.52566906816394,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.3387521422281,33.49847361131734,35.840278530910766,2.5111908199402357,7.648818725622615,7.648592780732032,20.528880754840447,0.5909164158686536
aortic_L0_5,aortic_rlc_ablation,current,ok,False,0.06341984904933616,0.06503623011709304,0.08285042522464282,0.07415973645116533,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.20925279169973,33.26318174278882,35.94607104891091,2.5217456228869737,7.632788458623176,7.632564980110898,20.587638547349513,0.5909163433238809
aortic_L2,aortic_rlc_ablation,current,ok,False,0.06360400686217071,0.06533813632858608,0.08295574202355958,0.07542044679381957,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.22995482034996,33.24569099930705,35.98426382104291,2.5205387338697327,7.624153835949868,7.623935089129663,20.608944870724923,0.5909179766036936
aortic_C0_5,aortic_rlc_ablation,current,ok,False,0.06455659128859886,0.0668764851037796,0.08356347811102374,0.14264691705118143,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.11346964427942,33.08275298733267,36.03071665694675,2.5278679819511,7.607373914914664,7.6071590122012545,20.63258246223867,0.5909189998042854
aortic_R0_5,aortic_rlc_ablation,current,ok,False,0.06468548662585454,0.06693701626851989,0.08367239150033212,0.1578455977634251,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.11207439549274,33.03612789803946,36.07594649745328,2.5311669540215025,7.611057467471071,7.61084207387786,20.648053384924292,0.5909188007955881
aortic_C2,aortic_rlc_ablation,current,ok,False,0.06355840055409573,0.06521004373716097,0.08280869037909575,0.1450733463943564,edv;esv;rpa_pressure;lpa_pressure,ascending_aorta_flow;descending_aorta_flow;rpa_pressure,69.22614825670718,33.173894227099964,36.05225402960721,2.529045107269191,7.634233686158214,7.63401415376314,20.647211357236323,0.5909182966441062
